class_name,class_desc,prereq,coreq
AFNS 401,"Covers specialized topics of current interest to BSc Honors in Food Science students. Presentations by students, faculty and invited speakers. Pre- or corequisite: NU FS 407.",,['NU FS 407']
AFNS 414,"Fundamentals in lipid biochemistry featuring learning modules of relevance to students of plant, food and animal science, and human nutrition, and other life science. Topics include characteristics of lipids, environmental effects on lipid metabolism, oilseed biotechnology and biomass solutions for petrochemical alternatives. Normally offered in alternate years. Prerequisite: BIOCH 200 or PL SC 345.","[['BIOCH 200', 'PL SC 345']]",
AFNS 416,"'One Health' is an emerging paradigm in public and veterinary health which recognizes that human, animal and environmental health are interlinked. The course will address food and water safety, the increase in prevalence of antibiotic resistant organisms, emerging infectious zoonotic diseases, environmental protection and environmental sustainability, emphasizing the interaction of these diverse yet interconnected disciplines in protecting the health of populations. Prerequisites: 3 units in MICRB or 3 units in PHYSL.","[['3 UNITS IN MICRB', '3 UNITS IN PHYSL']]",
AFNS 500,Project or reading course under the supervision of a Faculty member requiring preparation of a comprehensive report. Prerequisite: consent of Department. Note: May be taken more than once provided the topic is different.,['CONSENT OF DEPARTMENT'],
AFNS 502,"Readings and class presentations on current developments in bacterial or fungal fermentation of foods. Development in Probiotics. Not to be taken if credit received for NU FS 402. Prerequisite: MICRB 265, NU FS 361, or NU FS 363.","['MICRB 265', 'NU FS 361', ['NU FS 363']]",
AFNS 503,"Technological principles of milk treatment and processes for fluid milk products; concentrated, dried, sterilized and fermented dairy products; cheese, butter and ice cream. Not to be taken if credit received for NU FS 403. Prerequisite: consent of instructor.",,
AFNS 504,"Biological, biochemical, chemical, and technological aspects of the processing of animal muscle food including seafood product technology. Not to be taken if credit received for NU FS 404. Prerequisite: 3 units in BIOCH.",['3 UNITS IN BIOCH'],
AFNS 505,Basic principles of nutrition and metabolism of macronutrients and micronutrients. Prerequisite: Consent of instructor.,,
AFNS 506,"Examines major rangeland plant communities and their physical environments in western Canada, including individual plant identification and ecology. Includes a review of various land uses such as livestock and wildlife grazing within these communities, their response to disturbances such as herbivory and fire, and other management considerations. Not to be taken if credit received for ENCS 406. Prerequisite: ENCS 356 or consent of instructor.",['ENCS 356'],
AFNS 507,"Biological, biochemical, chemical, and technological aspects of the processing of cereals and oilseeds. Not to be taken if credit received for NU FS 406. Prerequisite: Consent of instructor.",,
